brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
D-CaDo Pets,"Сухой корм 3 в 1 для стерилизованных кошек 1,5 кг",743,743,221748868,5,4.8,199778450,352200582,2059.0,801.0
belkorm,Корм сухой для кошек с рыбой 10 кг,1629,1629,203908411,5,4.8,184763291,328284424,3475.0,1376.0
PURINA ONE,Сухой корм для стерильных кошек 3кг Лосось,2227,2227,224430595,5,5.0,177436150,355819211,1909.0,1259.0
Мираторг,"Сухой корм для стерилизованных кошек, c телятиной,2,6 кг",997,997,212961273,5,5.0,49735526,340392551,1319.0,1002.0
Деревенские лакомства,Корм для кошек сухой Стерилизованных ХОЛИСТИК говядина 400гр,505,505,208516695,5,4.9,187395033,334196504,1155.0,571.0
Мираторг,"Сухой корм для кошек от 1 года, с телятиной 1,5кг",2123,2123,164853020,5,4.9,151154266,274577811,572.0,377.0
Деревенские лакомства,Корм для кошек сухой полнорационный холистик с овощами 400гр,344,344,208512908,5,4.9,187395033,334190728,1155.0,571.0
WHISKAS,Сухой корм для кошек 5 кг,3573,3573,235248143,5,5.0,211566842,370726980,4000.0,1478.0
PRO PLAN,"Сухой корм для стерилизованных кошек с кроликом 1,5 кг",24,24,429851790,5,5.0,362113744,611478813,2100.0,1386.0
KORWOOD,Сухой корм для кошек мясное ассорти 2кг,1188,1188,195967215,5,4.7,177997206,318231546,2987.0,630.0
Brit,"Корм для кошек сухой, 2 кг",147,147,59639669,5,4.9,44937783,106787581,2702.0,1215.0
MIA pet,сухой корм для взрослых кошек 2кг супер премиум,168,168,463744937,5,4.8,463195796,652119701,2010.0,795.0
Royal canin,Сухой корм для привередливых кошек Savour Exigent 400 г,3803,3803,175017043,5,4.9,160321087,290105036,690.0,455.0
Best dinner,"Сухой корм для котят и кошек, с говядиной 1.5кг",320,320,47381889,5,4.9,13806984,91827238,2588.0,2282.0
Dezzie,Сухой корм для кошек с чувствительным пищеварением 2 кг,177,177,149606598,5,4.9,126720271,251032515,2255.0,1623.0
Brit,"Корм для кошек сухой, стерилизованные кошки, 0,4 кг",1343,1343,63799634,5,4.8,154081827,112093006,409.0,319.0
